mes;alimentos;manga;uva;habitacao;residencia;vestuario;transportes;saude;despesas;educacao;comunicacao;pe_alimentos;pe_manga;pe_uva;pe_habitacao;pe_residencia;pe_vestuario;pe_transportes;pe_saude;pe_despesas;pe_educacao;pe_comunicacao
dez/02;3.91;-5.9;-1.44;1.42;2.12;0.93;1.33;2.74;2.19;0.27;0.03;23.3648;0.0543;0.022;16.2239;5.7291;5.2577;21.7421;10.3454;9.1334;4.6865;3.5171
jan/03;2.15;4.62;-2.39;1.76;1.9;0.94;4.2;1.44;1.94;1.23;0.32;23.7716;0.0329;0.0881;16.1164;5.7306;5.1973;21.5829;10.4108;9.1419;4.6029;3.4456
fev/03;1.22;4.39;-10.06;0.18;1.57;0.11;3;0.67;0.64;5.64;3.24;23.7474;0.03;0.0817;16.0365;5.7113;5.1313;21.9945;10.3276;9.1137;4.5574;3.3803
mar/03;1.66;43.75;12.43;1.09;1.19;0.6;0.7;2.39;0.72;0.92;1.58;23.6689;0.0269;0.0702;15.8157;5.7121;5.058;22.301;10.2368;9.0313;4.7405;3.4357
abr/03;1.01;-3.14;2.31;1.95;0.82;1.03;0.5;1.54;0.35;0.43;0.14;23.7701;0.0051;0.0493;15.7977;5.7097;5.0255;22.1843;10.3544;8.9852;4.7258;3.4473
mai/03;0.63;-1.88;-5.91;2.27;0.29;1.14;-0.32;0.71;0.11;0.22;0.03;23.7746;0.0029;0.0445;15.9508;5.7014;5.0277;22.084;10.4132;8.9293;4.7005;3.4185
jun/03;-0.34;9.27;-4.83;0.52;-0.03;1.89;-1.45;0.34;0.22;0.12;0.19;23.7739;0.003;0.0451;16.2151;5.6839;5.054;21.8851;10.4243;8.8837;4.6819;3.3982
jul/03;-0.67;0;3.57;0.8;-0.08;0.36;-0.68;0.4;0.17;0.51;8.33;23.7289;0;0.047;16.3243;5.6911;5.1579;21.6021;10.4753;8.9166;4.6943;3.4095
ago/03;-0.27;-3.42;4.16;1;0.1;0.09;0.12;0.25;1.2;0.35;1.39;23.5227;0.0005;0.0274;16.423;5.6745;5.1656;21.4115;10.4956;8.9132;4.7084;3.6855
set/03;0.78;-1.95;3.97;1.17;0.24;0.72;0.68;0.52;0.59;0.21;2.32;23.3811;0.0001;0.0374;16.5306;5.6613;5.1528;21.3645;10.4864;8.9901;4.7092;3.724
